0	0	13800	13700	13900
0	0	13300	13800	13700
5	0	13000	13300	13800
7.9	5	12700	13000	13300
0.6	7.9	12900	12700	13000
0	0.6	12500	12900	12700
0.7	0	12700	12500	12900
2.2	0.7	12500	12700	12500
23.9	2.2	12600	12500	12700
0	23.9	12300	12600	12500
0	0	13000	12300	12600
25.8	0	14100	13000	12300
5.8	25.8	15700	14100	13000
1.9	5.8	15000	15700	14100
7.4	1.9	14700	15000	15700
5.2	7.4	14100	14700	15000
6.5	5.2	13300	14100	14700
0.5	6.5	13200	13300	14100
28.4	0.5	12800	13200	13300
7	28.4	12000	12800	13200
27.9	7	11700	12000	12800
0	27.9	12200	11700	12000
2.3	0	11800	12200	11700
7.1	2.3	12400	11800	12200
7.8	7.1	13600	12400	11800
3.9	7.8	14500	13600	12400
7	3.9	15000	14500	13600
0	7	15000	15000	14500
0	0	16200	15000	15000
0	0	16300	16200	15000
0	0	16400	16300	16200
38.1	0	16500	16400	16300
9.1	38.1	16600	16500	16400
0	9.1	16300	16600	16500
6.8	0	16300	16300	16600
13.4	6.8	15900	16300	16300
12.3	13.4	15800	15900	16300
0.1	12.3	15500	15800	15900
0	0.1	15200	15500	15800
7.8	0	15800	15200	15500
16.6	7.8	15500	15800	15200
10.5	16.6	16200	15500	15800
0	10.5	16800	16200	15500
4.6	0	16800	16800	16200
17.2	4.6	17700	16800	16800
1.1	17.2	17500	17700	16800
11.6	1.1	17500	17500	17700
8.7	11.6	16900	17500	17500
0	8.7	16200	16900	17500
4.1	0	15300	16200	16900
26.5	4.1	13000	15300	16200
0.2	26.5	12900	13000	15300
5.8	0.2	13500	12900	13000
1.5	5.8	14000	13500	12900
0	1.5	14600	14000	13500
11.4	0	14900	14600	14000
0	11.4	15100	14900	14600
13.4	0	15900	15100	14900
1.7	13.4	14400	15900	15100
16.3	1.7	14600	14400	15900
3.6	16.3	14600	14600	14400
0.4	3.6	14600	14600	14600
0.9	0.4	14500	14600	14600
3	0.9	13200	14500	14600
1.6	3	12900	13200	14500
63.4	1.6	12700	12900	13200
11	63.4	11900	12700	12900
1.5	11	12100	11900	12700
1.9	1.5	12000	12100	11900
1.2	1.9	12800	12000	12100
7.8	1.2	13800	12800	12000
0	7.8	14200	13800	12800
0	0	14500	14200	13800
0	0	14200	14500	14200
82.2	0	14200	14200	14500
17.9	82.2	13000	14200	14200
0	17.9	12200	13000	14200
19.8	0	11200	12200	13000
7.8	19.8	11200	11200	12200
1	7.8	11100	11200	11200
9.7	1	12500	11100	11200
8.6	9.7	11800	12500	11100
2.6	8.6	12400	11800	12500
0.3	2.6	12300	12400	11800
2	0.3	12800	12300	12400
22.1	2	13600	12800	12300
27.9	22.1	13500	13600	12800
30.7	27.9	13400	13500	13600
51	30.7	13000	13400	13500
0	51	12700	13000	13400
0	0	12000	12700	13000
0	0	11400	12000	12700
0	0	11100	11400	12000
0	0	10500	11100	11400
0	0	9850	10500	11100
0	0	9260	9850	10500
0	0	10000	9260	9850
0	0	10600	10000	9260
0.5	0	10800	10600	10000
0	0.5	10800	10800	10600
7	0	11100	10800	10800
0	7	11600	11100	10800
0	0	11600	11600	11100
0	0	11500	11600	11600
0.2	0	11000	11500	11600
0	0.2	10500	11000	11500
0	0	9340	10500	11000
0	0	8500	9340	10500
0.2	0	8470	8500	9340
0	0.2	8640	8470	8500
5	0	8690	8640	8470
0.5	5	8860	8690	8640
2	0.5	9550	8860	8690
0	2	9540	9550	8860
8.3	0	9220	9540	9550
0.2	8.3	9630	9220	9540
0	0.2	9660	9630	9220
23.9	0	9490	9660	9630
0	23.9	10000	9490	9660
0	0	9740	10000	9490
0	0	8550	9740	10000
0	0	7680	8550	9740
0	0	7360	7680	8550
0	0	7100	7360	7680
0	0	6840	7100	7360
16.9	0	6470	6840	7100
19.7	16.9	6490	6470	6840
0	19.7	6700	6490	6470
0	0	7350	6700	6490
0	0	7730	7350	6700
55.9	0	8140	7730	7350
0	55.9	8180	8140	7730
27	0	8280	8180	8140
10.1	27	7740	8280	8180
0	10.1	7050	7740	8280
1.8	0	6550	7050	7740
7.4	1.8	6230	6550	7050
0	7.4	6350	6230	6550
0.8	0	6180	6350	6230
0	0.8	6030	6180	6350
0	0	5890	6030	6180
0	0	5780	5890	6030
0	0	5840	5780	5890
0	0	5550	5840	5780
2.5	0	6000	5550	5840
0	2.5	6680	6000	5550
0.2	0	6730	6680	6000
0	0.2	6200	6730	6680
0	0	5970	6200	6730
0	0	5600	5970	6200
0	0	5220	5600	5970
0	0	4910	5220	5600
0	0	4840	4910	5220
0	0	4570	4840	4910
0	0	4420	4570	4840
0	0	4240	4420	4570
0	0	4160	4240	4420
0	0	4400	4160	4240
0	0	4720	4400	4160
0	0	4850	4720	4400
0	0	5470	4850	4720
0	0	5020	5470	4850
0	0	4460	5020	5470
0	0	4150	4460	5020
0	0	4570	4150	4460
0	0	4460	4570	4150
0	0	4450	4460	4570
0	0	3920	4450	4460
0	0	4080	3920	4450
0	0	3730	4080	3920
0	0	3610	3730	4080
0	0	3310	3610	3730
0	0	3280	3310	3610
0	0	3400	3280	3310
0	0	3820	3400	3280
0	0	3940	3820	3400
0	0	5050	3940	3820
0	0	3850	5050	3940
0	0	4090	3850	5050
0	0	3720	4090	3850
0	0	3660	3720	4090
0	0	3420	3660	3720
0	0	3010	3420	3660
0	0	2650	3010	3420
0	0	2830	2650	3010
0	0	2070	2830	2650
0	0	2340	2070	2830
